Alpha,NASA SC(2)-0412 T1_Re33.677_M0.22_N9.0, , Alpha,NPL 9510 T1_Re33.677_M0.22_N9.0, , Alpha,RAE 2822 T1_Re33.677_M0.22_N9.0, , Alpha,RAE(NPL) 5212 T1_Re33.677_M0.22_N9.0, , 
          0.6,     0.3593471, ,           0.1,     0.2718434, ,           0.8,     0.3113178, ,           0.7,     0.3727263, , 
          0.7,     0.3717284, ,           0.2,     0.2840063, ,             1,     0.3342454, ,           0.8,     0.3837147, , 
          0.8,     0.3845152, ,           0.3,     0.2961785, ,           1.1,     0.3458996, ,           0.9,     0.3947207, , 
          0.9,     0.3969223, ,           0.4,     0.3083355, ,           1.2,     0.3574201, ,             1,     0.4057506, , 
            1,     0.4098794, ,           0.5,     0.3205327, ,           1.3,     0.3689243, ,           1.1,     0.4168593, , 
          1.1,     0.4223584, ,           0.6,     0.3328475, ,           1.4,     0.3804611, ,           1.2,     0.4283839, , 
          1.2,     0.4352863, ,           0.7,     0.3451359, ,           1.5,     0.3918594, ,           1.3,      0.439755, , 
          1.3,     0.4481483, ,           0.8,     0.3573139, ,           1.6,     0.4034303, ,           1.4,     0.4510508, , 
          1.4,     0.4610224, ,           0.9,     0.3695124, ,           1.7,     0.4149819, ,           1.5,     0.4626222, , 
          1.5,     0.4742886, ,             1,     0.3818857, ,           1.8,     0.4266154, ,           1.6,     0.4742366, , 
          1.6,     0.4871809, ,           1.1,     0.3941276, ,           1.9,     0.4382017, ,           1.7,     0.4857688, , 
          1.7,     0.4996271, ,           1.2,     0.4062719, ,             2,     0.4498133, ,           1.8,     0.4972182, , 
          1.8,     0.5121184, ,           1.3,     0.4184435, ,           2.1,     0.4614318, ,           1.9,     0.5088158, , 
            2,     0.5371903, ,           1.4,     0.4307611, ,           2.2,     0.4730077, ,             2,     0.5204508, , 
          2.1,     0.5499689, ,           1.5,     0.4430489, ,           2.3,     0.4846522, ,           2.1,     0.5320748, , 
          2.2,      0.562818, ,           1.6,      0.455189, ,           2.4,     0.4962216, ,           2.2,     0.5436637, , 
          2.3,     0.5757414, ,           1.7,      0.467322, ,           2.5,     0.5078351, ,           2.3,      0.555197, , 
          2.4,     0.5883816, ,           1.8,     0.4795136, ,           2.6,     0.5194739, ,           2.4,     0.5666227, , 
          2.5,     0.6009788, ,           1.9,     0.4917787, ,           2.7,     0.5310821, ,           2.5,     0.5781054, , 
          2.6,     0.6132833, ,             2,     0.5040086, ,           2.8,     0.5427138, ,           2.6,     0.5897107, , 
          2.7,     0.6258905, ,           2.1,     0.5161424, ,           2.9,     0.5543701, ,           2.7,     0.6013589, , 
          2.8,     0.6384063, ,           2.2,     0.5282417, ,             3,     0.5659939, ,           2.8,     0.6128577, , 
          2.9,     0.6508884, ,           2.3,     0.5403283, ,           3.1,     0.5776301, ,           2.9,     0.6240408, , 
            3,     0.6634868, ,           2.4,     0.5524449, ,           3.2,     0.5892801, ,             3,     0.6355578, , 
          3.1,     0.6757415, ,           2.5,     0.5645863, ,           3.3,     0.6008991, ,           3.1,     0.6471598, , 
          3.2,     0.6879428, ,           2.6,     0.5767505, ,           3.4,     0.6125233, ,           3.2,     0.6587482, , 
          3.3,     0.7002095, ,           2.7,     0.5889402, ,           3.5,     0.6241608, ,           3.3,      0.670322, , 
